Oil Type,Feature 1,Feature 2,Feature 3
PO C,0.61671495,3.4398558,-0.2789378
PO C,2.4212155,3.812459,-1.5482792
PO C,-1.4514167,3.9266934,-0.54089814
PO C,0.50038165,2.9996514,-0.023162186
PO C,-0.5019433,3.4918082,-0.65849805
PO C,1.2271178,3.1117785,-0.62972724
SO C,-6.5222507,2.585006,0.83875024
SO C,-3.2448728,-0.36251011,-0.41945288
SO C,-6.5625377,1.7209573,0.52323014
SO C,-2.6772535,-0.6928562,-0.59394324
SO C,-0.6105719,-0.26967192,-4.5216517
SO C,-5.8165097,0.58540416,0.115183435
SO C,5.466446,-2.7404485,-4.5197415
SO C,-2.841166,-0.101668134,-1.8041471
SO C,-3.6024902,1.5402808,-2.338995
SO C,2.2627656,0.5742762,-4.4678082
SO C,-3.3121657,-1.1823852,0.464365
SO C,-1.6864862,-3.3156898,-1.0400331
SO C,0.6170094,-1.6246839,-1.4427989
SO C,-3.3859031,-0.10573886,-1.1431284
SO C,0.67797214,0.600184,-3.5674763
SO C,-3.453203,-3.3710377,0.31380537
SO C,-3.7461016,-0.47751746,-0.38423142
SO C,-4.8966274,-0.5661236,-0.055888895
SO C,-3.3229187,-0.17444259,-1.047496
SO C,0.24050625,-2.6145146,-1.9628761
SO C,-4.169092,-2.922349,3.7752035
SO C,-4.5862284,-1.2834302,-2.0876293
SO C,-4.8383236,-1.5401984,4.5322843
SO C,-6.2211747,0.4155665,1.7280163
SO C,-7.06822,0.80754864,1.4404775
SO C,-5.7173476,1.0651376,0.713627
SO C,-7.9582863,-0.45513904,1.1867412
SO C,-8.801549,1.5090479,0.44690955
SO C,-8.36532,1.6356173,0.05100027
SO C,-7.8523216,2.3205063,0.8950518
SO C,-7.609723,0.44364846,1.7450887
SO C,-8.330694,1.3262339,0.04172341
SO C,-7.0424867,0.18205802,0.40260857
SO C,-7.07494,-0.84626347,0.46103132
SO C,-8.842873,2.4235687,-0.6676447
SO C,-5.7744575,-1.8665987,1.4935505
SO C,-9.371636,0.44400114,0.6750577
SO C,-7.879544,0.8230748,0.53566056
SO C,-8.394444,1.2742885,0.112879194
SO C,-8.318483,1.5652509,-0.09222109
SO C,-0.32332483,0.32365912,-3.5574505
SO C,5.577144,-1.7732736,-5.2223845
SO C,3.612239,-1.5386434,-3.9428139
SO C,6.8147364,-0.04284821,-5.5211544
SO C,2.6317933,2.2193983,-4.8496933
SO C,2.121781,1.6141448,-4.128617
SO C,2.285982,2.368174,-4.52418
SO C,2.116474,1.2873734,-4.2206855
SO C,6.8078322,0.70905566,-5.0681586
SO C,7.3545756,0.62643856,-5.3212795
SO C,7.4921193,0.5890321,-5.2093573
SO C,7.2508764,0.7483134,-5.065111
SO C,2.9588115,2.2239008,-4.855174
SO C,2.4843724,2.2790856,-4.6567945
SO C,9.31894,1.0165035,-5.292094
SO C,1.9636694,1.507143,-4.075029
SO C,1.3408388,0.88361526,-3.517456
SO C,-0.37289613,2.3343215,-3.0986702
SO C,1.560916,1.8136371,-4.0339823
SO C,3.060642,2.3997574,-4.875989
SO C,2.7134678,-0.60011965,-4.261566
SO C,-4.0834312,0.33183,-1.5822775
SO C,-0.26074526,-1.4211326,-0.18535753
SO C,-0.70524216,2.3479393,-6.1048126
SO C,4.402203,-2.739513,-4.436629
SO C,0.10211547,1.6483359,-3.2111652
SO C,1.2900587,-1.3391579,-2.2880933
SO C,-3.3480508,-1.4213812,-2.4879725
SO C,-5.233757,1.5485797,-0.728926
SO C,0.9786973,-0.4434448,-2.6129282
SO C,-7.093804,2.6592233,-0.5172945
SO C,-4.1745334,1.3311545,-1.2125484
SO C,-6.035084,1.4836704,-0.06405313
SO C,-8.033732,1.9620826,-0.039033044
SO C,-8.617421,2.237561,0.58002174
SO C,-5.5687604,2.4594111,-1.0386586
SO C,-6.762366,1.9591379,-0.052571062
SO C,-6.445321,1.3967886,0.5259899
SO C,-7.555683,1.8656911,-0.04520945
SO C,-7.470315,1.746614,-0.01462937
SO C,5.0510755,-0.08514179,-5.621814
SO C,4.5340033,-1.4671279,-5.3533196
SO C,3.2331667,-1.9823667,-4.372884
SO C,5.130866,-3.2211928,-4.645841
SO C,-0.516801,-3.4914577,-1.8738937
SO C,7.979759,-0.24589974,-5.5534687
SO C,6.286124,0.09758732,-5.4196467
SO C,3.7027292,-1.8222376,-4.4366946
SO C,5.0113416,-2.67826,-4.648714
SO C,0.9177599,-3.1639295,-3.841002
SO C,-2.5481365,-1.9402174,-0.44909665
SO C,-5.785016,-0.56231976,-1.0978854
SO C,-3.927418,-1.3495204,0.2354346
SO C,5.582105,-2.6749127,-4.766128
SO C,-2.9301565,-3.4282174,0.47786194
SO C,-3.8070548,-1.1999278,-0.9351741
SO C,-3.481574,-2.4348247,0.11285992
SO C,-2.061811,-2.9950721,-1.3918805
SO C,6.908751,-2.2161882,-4.7610373
SO C,-0.10762345,-2.1731348,-2.9134276
SO C,-8.383409,-0.24010979,0.32695192
SO C,-8.030167,-1.2187119,0.18358181
SO C,-2.939336,-3.1386075,-0.50542396
SO C,-3.316455,-0.73676926,0.2217713
SO C,-7.492284,1.2149574,-1.1545377
SO C,-6.177518,-1.4327669,0.84619784
SO C,-5.499799,-0.7171257,1.1185074
SO C,-5.462265,-1.911861,0.08880805
SO C,-5.437063,0.32098612,-0.44950324
SO C,-6.0462327,0.14918941,0.00072801765
SO C,-6.3061357,-1.137299,1.2588633
SO C,-6.0380483,-2.0202289,0.43670458
SO C,-4.389888,-3.490351,-0.30637345
SO C,-1.196731,-2.2682574,-1.4317445
SO C,-1.5497534,-3.1245666,-0.9332078
SO C,-4.310719,-2.7252262,1.0829202
SO C,-7.1841774,-1.6261352,0.2679441
SO C,-1.7478784,-2.8032384,-1.0111172
SO C,-1.8906593,-3.5009148,-0.69852924
