Feature 1,Feature 2,Oil Type
8.847249,-5.4520082,VO C
7.6156893,-7.9944353,VO C
9.833793,-8.359418,VO C
10.317916,-4.864127,VO C
10.404973,-7.620879,VO C
12.173642,-7.1273675,VO C
6.8019843,-8.281354,VO C
4.995881,-3.7831998,VO C
10.357287,-6.399389,VO C
11.379343,-4.777207,VO C
11.61443,-6.948519,VO C
9.312778,-9.161233,VO C
10.0114,-7.652757,VO C
10.569365,-7.060386,VO C
12.274938,-7.211341,VO C
12.153914,-7.1145577,VO C
5.9831967,-6.493316,VO C
8.665056,-8.212972,VO C
10.542876,-7.2811546,VO C
11.138059,-7.071386,VO C
11.873771,-7.175343,VO C
0.59165156,-7.7359385,VO C
7.096196,-7.4542313,VO C
9.055641,-6.113285,VO C
9.436546,-5.241795,VO C
9.465158,-5.6976194,VO C
4.6417065,-9.056464,VO C
6.884361,-7.3698807,VO C
5.180238,-6.7064676,VO C
10.3277445,-5.8846087,VO C
9.796426,-5.0032253,VO C
8.172961,-5.1662006,VO C
10.747516,-5.07926,VO C
4.9107995,-7.5878205,VO C
11.926527,-7.051317,VO C
10.7448015,-5.622037,VO C
11.129063,-4.1588,VO C
11.434901,-4.5445404,VO C
9.320375,-5.4646263,VO C
10.099917,-6.6263037,VO C
10.311412,-6.6293674,VO C
8.611088,-7.2111955,VO C
6.266992,-8.187495,VO C
10.55288,-8.158593,VO C
9.842798,-6.075925,VO C
9.698713,-6.6430635,VO C
11.505694,-8.573824,VO C
8.263138,-7.0724206,VO C
9.02786,-7.3835754,VO C
7.58586,-6.3210273,VO C
6.0871043,-6.9139853,VO C
8.980319,-7.4276314,VO C
7.9328146,-6.202935,VO C
7.221977,-7.0965657,VO C
4.4255776,-6.562479,VO C
3.8622954,-6.369063,VO C
7.444191,-8.747011,VO C
7.5490413,-6.8293953,VO C
6.384672,-7.0445914,VO C
5.6689277,-8.097055,VO C
0.7265306,-6.950527,VO C
7.4947762,-3.4758785,VO C
-7.0848746,-4.5796995,VO C
-5.6411576,-5.949348,VO C
-3.950406,-6.172342,VO C
-12.101356,-5.482342,VO C
3.4076018,-4.4531155,VO C
0.80202407,-6.855161,VO C
-0.98942536,-6.414442,VO C
-5.93384,-5.2661347,VO C
-7.740179,-6.3807554,VO C
1.6238093,-4.7624865,VO C
3.5640697,-6.819413,VO C
-5.375725,-6.802882,VO C
5.9239454,-3.6986313,VO C
-4.066531,-6.087054,VO C
2.010939,-4.8295026,VO C
-0.6353425,-6.2675767,VO C
