Oil_Type,Feature 1,Feature 2,Feature 3
GNO,3.7132668,0.9853445,-6.6948147
GNO,3.0189202,0.94289446,-6.0200768
GNO,3.311166,0.9121437,-6.522157
GNO,3.2039201,1.03906,-6.3851585
GNO,3.2502687,0.93797046,-6.5476236
GNO,3.6530488,1.0019068,-6.858012
GNO,3.1785462,1.0055943,-6.605883
GNO,3.0550725,1.0450298,-6.3448534
GNO,3.2803297,0.93057466,-6.5049987
GNO,3.1978028,1.0439533,-6.448946
GNO,3.219531,1.0357443,-6.2687154
GNO,0.26819035,-0.9152526,-9.260368
GNO,1.0828232,-2.0364053,-8.934567
GNO,1.634146,-0.26041415,-10.6229725
GNO,1.554779,-1.2390755,-11.288011
GNO,0.597075,-0.693175,-9.990791
GNO,1.2774218,-2.2629533,-9.082839
GNO,1.3672612,-0.032881867,-10.599358
GNO,2.2298667,0.46779037,-10.897185
GNO,0.92903,-0.2016485,-11.587651
GNO,0.56864077,-0.0005341556,-11.386648
GNO,0.90206975,-0.9443577,-8.43566
GNO,2.889537,1.2505146,-9.492159
GNO,1.6017482,0.54368776,-8.450587
GNO,1.8784589,1.2153642,-8.861865
GNO,2.9532757,0.38291943,-8.849819
GNO,2.0788753,0.1551056,-8.701334
GNO,1.9925563,0.19143471,-7.767657
GNO,1.923378,1.0776204,-8.425019
GNO,1.6827438,0.82812655,-8.32233
GNO,1.976133,0.84996283,-8.185621
GNO,-0.02303546,3.8950617,-10.74442
GNO,0.54172736,3.404078,-11.312688
GNO,-0.15522437,5.607009,-9.94279
GNO,-1.4814147,5.0374618,-10.607797
GNO,-0.7462871,3.4929938,-10.669142
GNO,-0.9141391,5.8373513,-10.751519
GNO,-0.77512276,4.094603,-10.473619
GNO,-0.9848115,3.379002,-10.981186
GNO,0.054205753,3.813018,-10.746281
GNO,-2.17889,2.8969927,-10.086777
GNO,-0.11231637,5.733503,-10.049028
GNO,-0.497546,3.3079894,-11.552562
GNO,-0.60007834,4.384655,-11.35291
GNO,-1.6492051,3.191427,-9.178792
GNO,-0.89832145,5.8575754,-9.556591
GNO,-2.0495112,5.172956,-9.607392
GNO,-0.5353465,3.294486,-10.475762
GNO,-1.6479988,4.4718475,-10.858852
GNO,-0.4212274,5.663475,-11.3666525
GNO,-2.6116867,4.9037094,-8.626379
GNO,0.79126364,5.9571786,-10.53516
GNO,-0.11260005,4.320369,-11.67106
GNO,-1.642888,5.0294743,-10.678196
GNO,-2.7358289,3.8534882,-10.829129
GNO,-1.458193,4.0758553,-10.706044
GNO,-1.6543815,5.873745,-9.790569
GNO,-3.0008528,3.8602417,-9.2897835
GNO,-2.342827,4.666534,-10.441818
GNO,-1.7475609,3.6410694,-10.055428
GNO,-0.8517154,4.2876296,-12.210792
GNO,-1.2481146,3.581313,-11.814729
GNO,-2.020486,4.878826,-11.562958
GNO,-1.7471206,3.7101283,-11.447849
GNO,0.88424796,5.461368,-8.329865
