Feature 1,Feature 2,Oil_Type
-1.6058004,7.383333,GNO
-2.19201,8.109909,GNO
-2.3550496,8.473261,GNO
-3.9657352,7.249873,GNO
-3.7117355,7.679365,GNO
-4.5777593,7.2945795,GNO
-4.2255774,7.105492,GNO
-4.372139,6.1750097,GNO
-3.2445421,7.5949435,GNO
20.055246,20.737894,SOYO
20.552528,22.55565,SOYO
21.45504,22.584839,SOYO
19.18433,21.518232,SOYO
19.988401,21.685692,SOYO
20.282883,21.237066,SOYO
20.77709,22.477444,SOYO
20.164532,21.658382,SOYO
20.337816,23.392673,SOYO
20.704,23.306362,SOYO
21.123901,21.134403,SOYO
19.44656,21.43886,SOYO
20.952248,23.463867,SOYO
20.19662,22.956726,SOYO
20.638714,21.987358,SOYO
20.074148,21.7405,SOYO
20.764814,21.973995,SOYO
21.054531,23.524397,SOYO
20.291746,23.36886,SOYO
19.273214,21.433424,SOYO
17.185314,23.525547,SOYO
18.792841,21.222254,SOYO
13.472288,17.504265,SOYO
19.841818,23.374249,SOYO
17.93252,24.735826,SOYO
19.243551,23.483393,SOYO
19.927729,22.499756,SOYO
19.456732,23.247435,SOYO
18.446972,24.00509,SOYO
19.374496,23.098862,SOYO
18.68187,23.07278,SOYO
19.100245,22.034113,SOYO
18.443632,22.803667,SOYO
19.369755,22.718529,SOYO
19.67296,22.492409,SOYO
19.417528,20.89726,SOYO
17.869741,24.429811,SOYO
18.410053,22.184216,SOYO
19.358793,22.873913,SOYO
19.522642,22.82142,SOYO
20.114328,26.264666,SOYO
19.596092,26.26361,SOYO
19.068048,25.477474,SOYO
19.845291,25.255213,SOYO
18.924791,25.669662,SOYO
19.941011,24.42822,SOYO
18.829847,23.957972,SOYO
19.58273,25.299469,SOYO
19.581696,25.559477,SOYO
20.012058,25.735704,SOYO
18.523182,24.49509,SOYO
19.271568,24.151262,SOYO
20.034601,25.407198,SOYO
20.268875,25.293211,SOYO
19.78471,25.715666,SOYO
19.239792,22.271397,SOYO
19.217161,23.87839,SOYO
20.066141,25.466446,SOYO
19.85672,25.23794,SOYO
19.682085,25.009829,SOYO
17.015564,23.598385,SOYO
18.30143,21.944687,SOYO
17.82045,22.282177,SOYO
19.006012,22.511383,SOYO
18.765562,22.249676,SOYO
17.616955,22.932352,SOYO
18.160282,23.36004,SOYO
17.808996,22.42225,SOYO
18.822798,23.172258,SOYO
19.660116,22.26993,SOYO
17.760893,22.451859,SOYO
18.164005,22.713736,SOYO
19.2645,22.555132,SOYO
18.326385,23.322294,SOYO
18.53974,22.248648,SOYO
17.788544,23.989723,SOYO
19.443205,22.991087,SOYO
17.853762,23.843191,SOYO
18.256546,23.163652,SOYO
18.429995,22.239117,SOYO
16.280699,21.606092,SOYO
17.521204,20.667458,SOYO
16.657711,21.991894,SOYO
16.595646,21.75216,SOYO
14.935997,23.366455,SOYO
17.325092,20.521507,SOYO
14.44992,21.84713,SOYO
17.225523,21.355307,SOYO
16.716564,20.985012,SOYO
16.450325,22.026442,SOYO
15.433254,22.669712,SOYO
15.708657,21.554457,SOYO
16.49711,20.682333,SOYO
16.404476,21.585796,SOYO
16.25932,21.837782,SOYO
14.559672,21.035898,SOYO
16.261818,21.121157,SOYO
16.922495,21.386564,SOYO
15.967012,21.535707,SOYO
16.487146,21.479803,SOYO
15.331669,22.18785,SOYO
16.596119,20.463724,SOYO
15.610583,21.245764,SOYO
15.197705,21.105442,SOYO
15.870035,22.029673,SOYO
16.140776,22.236298,SOYO
15.958999,20.867846,SOYO
15.997466,20.790737,SOYO
15.9140415,21.164139,SOYO
16.017324,20.275898,SOYO
15.855172,22.03505,SOYO
16.206034,20.536022,SOYO
15.544106,21.78611,SOYO
16.129627,20.82847,SOYO
14.859478,21.852907,SOYO
16.455471,21.882097,SOYO
15.321966,21.07259,SOYO
16.182695,21.153461,SOYO
15.404282,21.32398,SOYO
15.867737,21.316475,SOYO
7.841781,28.942253,SOYO
7.8993635,29.031286,SOYO
7.874927,28.82497,SOYO
7.9696026,28.775091,SOYO
