Feature 1,Feature 2,Oil_Type
3.9084518,-14.940535,SOYO
2.9172168,-15.576834,SOYO
2.6124122,-14.645314,SOYO
4.0777335,-14.949245,SOYO
3.338525,-14.340653,SOYO
3.5338576,-15.918235,SOYO
3.8984907,-16.637024,SOYO
2.398628,-14.989537,SOYO
3.2286477,-15.502974,SOYO
4.481401,-14.742405,SOYO
3.5236046,-16.18779,SOYO
3.4495952,-15.293865,SOYO
4.0085435,-13.4753,SOYO
2.4954078,-14.574876,SOYO
2.1528327,-14.296178,SOYO
4.2759624,-17.332968,SOYO
4.0004416,-14.4286,SOYO
4.5637956,-15.227503,SOYO
-0.16581942,-13.525341,SOYO
-25.72211,3.6663806,VO
-30.544945,2.12829,VO
-26.512505,3.6375613,VO
-28.283764,2.9127612,VO
-28.400427,2.855486,VO
-29.918188,1.9907112,VO
-30.323797,1.9608945,VO
-30.354254,2.1459248,VO
-30.312214,2.0999157,VO
-31.113255,2.1387477,VO
-30.32994,2.1202645,VO
-31.222563,2.1247973,VO
-29.975714,2.028021,VO
-30.51678,1.9780792,VO
-30.12276,2.048671,VO
-30.844398,2.1656344,VO
-31.041855,2.1411078,VO
-31.25396,2.120364,VO
-29.857517,2.0388494,VO
-30.164326,1.8670518,VO
-26.590761,1.6813339,VO
-24.323303,-2.6309457,VO
-24.31674,-2.9545567,VO
-25.419743,-1.7905647,VO
-27.06814,-1.8700598,VO
-21.9275,3.584943,VO
-23.135733,3.1357799,VO
-27.061924,-0.31287482,VO
-27.533712,-0.14868678,VO
-27.960854,-0.30273965,VO
-29.2308,-1.5894235,VO
-27.385235,-0.6208716,VO
-29.013784,-1.7204221,VO
-28.513151,-1.906703,VO
-28.603962,-0.87262356,VO
-27.646803,-1.2766345,VO
-28.139137,-0.73084563,VO
-28.0041,-1.1539018,VO
-28.490782,-0.5469453,VO
-28.960146,-1.1323165,VO
-28.93728,0.1157247,VO
-28.762272,-0.80822974,VO
-28.155453,-0.4737414,VO
-28.619976,0.008642945,VO
-28.676977,-0.21025322,VO
-24.586958,4.20475,VO
-29.63605,0.12512657,VO
-29.735445,0.42663327,VO
-30.071165,0.9778159,VO
-29.639235,0.29537824,VO
-27.895014,-1.0095662,VO
-27.357807,1.6119087,VO
-27.32719,2.3187485,VO
-26.794418,2.4089806,VO
-25.589466,3.209887,VO
-23.71285,4.1654544,VO
-22.999851,5.004076,VO
-22.840014,3.3774586,VO
-23.017658,5.011228,VO
-24.531181,3.432774,VO
-21.300253,3.7377546,VO
-22.738934,4.570357,VO
-23.35725,4.6283693,VO
-22.499916,4.109028,VO
-23.224365,4.990782,VO
-22.70578,3.6304722,VO
-22.279467,3.9716551,VO
-23.054295,4.3924065,VO
-23.482702,4.2706966,VO
-23.202747,3.9349525,VO
-23.648132,3.4408922,VO
-24.040499,4.3260975,VO
-23.539972,4.6324043,VO
-23.320412,4.0711756,VO
-22.923199,4.167244,VO
-26.201912,2.8251245,VO
-24.209959,3.581854,VO
-23.173689,3.9521587,VO
-22.547499,4.425531,VO
-23.138968,4.639429,VO
-23.885916,0.23282711,VO
-24.466436,0.18690379,VO
-24.08519,0.09304724,VO
-25.025568,0.23597704,VO
-25.074047,-0.24986427,VO
-25.596039,0.29071006,VO
-25.537827,-0.56058735,VO
-25.205679,-0.19633234,VO
-24.76226,0.37360412,VO
-24.51202,0.3950656,VO
-24.778227,0.63801074,VO
-24.971931,0.0825296,VO
-24.691559,1.1876956,VO
-24.701511,1.0461164,VO
-24.663504,0.46350044,VO
-24.410118,0.58877385,VO
-24.755398,0.45938972,VO
-24.7288,-0.010102721,VO
-24.939392,0.1630888,VO
