dataset,model,wavenumber,selection_count,selection_rate,mean_importance,std_importance
chips,baseline,2995.379,1,0.1,0.0007440476190476191,0.0023528851638157586
chips,baseline,1812.265,1,0.1,0.0007438798227244754,0.0023523545452516226
chips,baseline,2953.917,1,0.1,0.0007317212599325445,0.0023139057937549457
chips,baseline,1899.046,1,0.1,0.0007306626354245408,0.0023105581291227783
chips,baseline,1888.439,1,0.1,0.0007301036048865488,0.002308790319341135
chips,baseline,2826.638,1,0.1,0.0007292590093368088,0.002306119473702314
chips,baseline,1015.808,1,0.1,0.0007246376811594201,0.0022915055508466514
chips,baseline,562.6187,1,0.1,0.0007214206437291899,0.0022813323852491087
chips,baseline,1534.566,1,0.1,0.0007164902998236332,0.00226574126885962
chips,baseline,1427.536,1,0.1,0.0007122507122507124,0.0022523345157894445
chips,baseline,2684.896,1,0.1,0.0007098765432098765,0.0022448267340701455
chips,baseline,1401.502,1,0.1,0.000709537376204043,0.002243754193824532
chips,baseline,1113.196,1,0.1,0.0006944444444444446,0.0021960261528947084
chips,baseline,654.2207,1,0.1,0.0006944444444444445,0.002196026152894708
chips,baseline,1580.849,1,0.1,0.0006944444444444444,0.0021960261528947075
chips,baseline,1761.161,1,0.1,0.0006944444444444444,0.0021960261528947075
chips,baseline,533.6917,1,0.1,0.0006802721088435373,0.0021512092926315503
chips,baseline,579.0105,1,0.1,0.0006613756613756614,0.002091453478947341
chips,baseline,2660.79,1,0.1,0.0006448412698412699,0.0020391671419736574
chips,baseline,1670.523,1,0.1,0.000617283950617284,0.0019520232470175182
chips,baseline,544.2981,1,0.1,0.000617283950617284,0.0019520232470175182
chips,baseline,944.4551,1,0.1,0.0006172839506172839,0.001952023247017518
chips,baseline,590.5813,1,0.1,0.0005996472663139328,0.0018962511542455886
chips,baseline,1320.506,1,0.1,0.0005952380952380954,0.0018823081310526072
chips,baseline,1257.831,1,0.1,0.0005952380952380953,0.0018823081310526068
chips,baseline,1610.74,1,0.1,0.0005952380952380953,0.0018823081310526068
chips,baseline,2673.325,1,0.1,0.0005952380952380953,0.0018823081310526068
chips,baseline,633.9719,1,0.1,0.0005793650793650795,0.0018321132475578711
chips,baseline,1098.732,1,0.1,0.0005787037037037039,0.0018300217940789237
chips,baseline,742.9302,1,0.1,0.0005787037037037038,0.0018300217940789235
chips,baseline,707.2537,1,0.1,0.0005784708249496987,0.0018292853667976052
chips,baseline,616.6157,1,0.1,0.0005777310924369744,0.0018269461271981171
chips,baseline,523.085,1,0.1,0.0005769230769230771,0.00182439095778945
chips,baseline,587.6887,1,0.1,0.0005757220921155341,0.0018205931103623554
chips,baseline,2604.865,1,0.1,0.0005699088145896661,0.001802209912709944
chips,baseline,1846.977,1,0.1,0.0005668934240362813,0.0017926744105262924
chips,baseline,581.9033,1,0.1,0.0005668934240362812,0.0017926744105262922
chips,baseline,2820.853,1,0.1,0.0005668934240362811,0.001792674410526292
chips,baseline,972.4177,1,0.1,0.0005654761904761905,0.0017881927244999764
chips,baseline,1754.411,1,0.1,0.0005649068744306835,0.0017863923890876943
chips,baseline,1118.981,1,0.1,0.0005623267825648777,0.0017782334222192745
chips,baseline,2781.32,1,0.1,0.0005568356374807985,0.0017608688967911475
chips,baseline,592.5098,1,0.1,0.0005567624750110981,0.0017606375367476511
chips,baseline,805.6055,1,0.1,0.0005527210884353741,0.0017478575502631346
chips,baseline,1667.63,1,0.1,0.0005476190476190474,0.0017317234805683977
chips,baseline,2704.181,1,0.1,0.0005476190476190474,0.0017317234805683977
chips,baseline,2947.168,1,0.1,0.0005473862964698386,0.0017309874568088761
chips,baseline,517.2996,1,0.1,0.0005447178871548622,0.001722549205643941
chips,baseline,1784.302,1,0.1,0.0005426557509890836,0.0017160281585146737
chips,baseline,1011.951,1,0.1,0.000529100529100529,0.0016731627831578723
chips,baseline,1184.549,1,0.1,0.000529100529100529,0.0016731627831578723
